852,2,8,118900
1000,1,9,169900
1100,3,5,179900
1200,3,1,199000
1203,3,2,198500
1236,3,4,195000
1239,3,5,201000
1268,3,5,212900
1268,3,8,198800
1320,2,4,216900
1380,3,6,212000
1416,2,3,222000
1427,3,3,228999
1437,3,4,219900
1458,3,6,224500
1494,3,7,232500
1534,3,8,234900
1600,3,4,259900
1604,3,5,252900
1664,2,7,251500
1767,3,7,252900
1811,4,3,285900
1839,2,4,289900
1852,4,2,288900
1880,2,4,285000
1888,2,9,265000
1890,3,3,289999
1940,4,3,299999
1962,4,7,298800
1985,4,8,279900
2000,3,5,307000
2040,4,5,314900
2104,3,3,349900
2132,4,5,345000
2162,4,4,367000
2162,4,8,337000
2200,3,5,355000
2238,3,6,349900
2300,4,5,359900
2400,3,6,369000
2526,3,3,389000
2567,4,7,354000
2609,4,6,409998
2637,3,3,429900
3000,4,4,468800
3031,4,4,469900
3035,4,9,439000
3137,3,5,489900
3883,3,6,500900
3897,3,5,513900
4215,4,7,549000
4475,5,10,559800
4478,5,5,599900
